stop_duration,driver_gender,driver_age_group,driver_race,violation,stop_duration,search_conducted,drugs_related_stop,y_resampled
2,1,0,4,1,2,0,False,2
0,0,0,1,0,0,0,False,3
2,0,0,4,1,2,0,False,0
0,0,0,4,0,0,0,False,3
0,0,0,4,5,0,0,False,5
0,1,0,1,2,0,0,False,4
0,1,0,2,1,0,0,False,1
0,1,0,4,2,0,0,False,2
2,1,0,2,5,2,0,False,0
2,0,0,4,2,2,0,False,4
0,1,0,1,5,0,0,False,5
0,1,1,4,0,0,0,False,3
2,1,0,4,1,2,0,False,4
0,1,0,4,4,0,0,False,5
4,1,0,4,1,4,0,False,1
0,1,0,4,3,0,0,False,4
4,1,0,4,5,4,0,False,0
0,1,0,4,0,0,0,False,5
0,1,0,2,0,0,0,False,3
0,1,0,2,0,0,0,False,2
2,1,0,4,5,2,0,False,2
2,1,0,4,2,2,0,False,4
0,1,0,0,5,0,0,False,5
0,0,0,1,5,0,0,False,5
0,1,0,0,2,0,0,False,2
0,0,0,1,5,0,0,False,2
0,1,1,2,1,0,0,False,0
4,1,0,4,5,4,0,False,5
0,1,0,4,2,0,0,False,4
0,1,0,1,2,0,0,False,4
2,1,0,2,1,2,0,False,5
0,1,0,4,2,0,0,False,4
4,0,0,4,1,4,0,False,1
0,1,0,4,4,0,0,False,0
0,1,0,2,0,0,0,False,3
0,1,0,4,5,0,0,False,2
0,1,0,4,5,0,0,False,1
2,1,1,4,1,2,0,False,0
2,1,0,1,0,2,1,False,0
2,1,0,2,0,2,1,False,1
2,0,0,1,2,2,0,False,4
0,1,0,4,5,0,0,False,2
0,0,0,1,0,0,0,False,3
0,1,0,4,5,0,0,False,2
0,1,0,2,0,0,0,False,3
0,0,0,4,0,0,0,False,3
4,1,0,4,1,4,1,True,0
2,0,0,2,1,2,0,False,5
0,1,0,4,5,0,0,False,2
2,1,0,4,1,2,1,False,4
2,1,0,4,2,2,0,False,0
2,1,0,1,1,2,0,False,5
0,1,2,4,2,0,0,False,4
4,0,0,4,2,4,0,False,4
0,0,0,4,0,0,0,False,1
2,0,0,4,2,2,0,False,4
2,0,0,4,0,2,1,False,1
0,1,0,4,3,0,0,False,5
0,0,0,4,2,0,0,False,4
2,1,0,4,2,2,0,False,4
2,1,0,4,3,2,0,False,1
2,1,0,4,5,2,1,False,1
0,1,0,1,1,0,0,False,2
0,1,0,4,2,0,1,False,0
4,1,0,4,5,4,0,False,0
0,1,0,1,0,0,0,False,3
0,1,0,4,5,0,0,False,2
0,1,0,4,1,0,0,False,2
2,1,0,1,5,2,1,False,1
4,1,0,1,2,4,0,False,2
0,1,0,4,0,0,0,False,5
2,0,0,1,1,2,1,True,1
2,1,0,4,5,2,0,False,5
2,1,0,4,5,2,0,False,2
2,0,0,1,0,2,0,False,1
2,1,0,4,2,2,0,False,4
2,1,0,4,2,2,1,False,0
0,0,0,1,1,0,0,False,1
2,0,0,4,0,2,1,False,1
0,0,0,1,5,0,0,False,5
0,1,0,1,5,0,0,False,2
4,1,0,1,0,4,1,False,0
2,0,0,4,3,2,1,False,1
0,1,0,4,0,0,0,False,5
2,1,0,1,5,2,1,False,1
0,0,2,0,5,0,0,False,2
0,1,0,4,0,0,0,False,4
2,1,0,4,5,2,1,True,0
0,1,0,4,2,0,0,False,4
0,1,0,4,2,0,0,False,4
2,1,0,4,3,2,0,False,1
0,1,0,4,5,0,0,False,4
4,1,0,1,5,4,1,True,1
4,1,0,1,1,4,1,True,0
0,0,0,1,0,0,0,False,1
0,0,0,4,5,0,0,False,2
0,0,0,2,2,0,0,False,4
0,0,0,4,5,0,0,False,5
0,1,0,4,5,0,0,False,2
0,1,0,4,0,0,0,False,3
0,0,0,4,2,0,0,False,4
0,0,0,1,5,0,0,False,5
0,1,0,4,5,0,0,False,2
0,1,0,4,0,0,0,False,5
4,0,0,1,0,4,0,False,1
0,1,0,4,2,0,0,False,4
0,1,0,4,5,0,0,False,2
0,1,0,4,2,0,0,False,4
0,1,0,4,1,0,0,False,4
0,1,0,4,0,0,0,False,3
0,0,0,4,0,0,0,False,2
2,1,0,4,3,2,0,False,0
0,1,0,1,0,0,0,False,2
0,1,0,4,0,0,0,False,3
0,1,0,2,0,0,0,False,1
0,1,0,1,5,0,0,False,3
0,1,0,4,1,0,0,False,4
2,1,0,1,5,2,0,False,0
2,0,0,4,0,2,1,False,1
2,1,0,4,1,2,1,False,0
2,1,0,1,0,2,1,False,1
0,0,0,4,0,0,0,False,3
2,0,0,4,2,2,0,False,4
0,0,0,4,0,0,0,False,1
0,1,0,1,3,0,0,False,5
0,1,0,4,0,0,0,False,4
0,0,0,4,5,0,0,False,5
0,1,0,2,1,0,0,False,5
0,1,0,4,5,0,0,False,2
2,1,0,1,3,2,1,False,1
2,0,0,4,2,2,0,False,0
4,1,0,2,0,4,0,False,0
2,1,0,4,2,2,0,False,4
4,1,0,2,1,4,1,False,4
0,1,0,4,0,0,0,False,3
2,0,0,4,2,2,0,False,4
2,1,0,4,0,2,0,False,3
0,1,0,4,0,0,0,False,5
0,0,0,4,4,0,0,False,5
0,1,0,4,0,0,0,False,3
0,1,0,4,5,0,0,False,2
2,0,0,4,0,2,0,False,1
0,1,0,1,0,0,0,False,5
0,0,0,1,1,0,0,False,4
0,1,0,4,0,0,0,False,2
2,1,0,2,3,2,1,False,0
0,0,0,4,2,0,0,False,2
0,0,0,4,5,0,0,False,3
0,1,0,4,5,0,0,False,3
0,1,0,4,1,0,0,False,0
2,0,0,4,0,2,1,False,1
0,1,0,2,1,0,0,False,0
0,1,0,4,0,0,1,False,2
0,1,0,4,0,0,0,False,5
2,1,1,4,5,2,1,True,1
0,1,0,4,5,0,0,False,2
0,0,0,1,0,0,0,False,2
0,1,0,4,1,0,0,False,3
0,1,2,4,5,0,0,False,5
0,0,0,4,5,0,0,False,5
0,1,0,4,2,0,0,False,4
0,1,0,4,1,0,0,False,4
0,1,0,2,0,0,0,False,4
0,1,0,1,1,0,0,False,3
4,0,0,4,0,4,0,False,1
0,1,0,2,1,0,0,False,5
4,0,0,4,2,4,0,False,4
2,0,0,4,4,2,0,False,1
2,1,0,2,0,2,0,False,4
4,1,0,4,2,4,1,False,0
2,1,0,4,2,2,0,False,0
0,1,0,4,5,0,0,False,0
0,1,0,1,1,0,0,False,5
0,1,0,4,5,0,0,False,5
2,1,1,4,5,2,0,False,0
2,1,0,4,5,2,1,False,0
0,1,0,2,0,0,0,False,2
2,0,0,4,3,2,1,False,1
0,1,0,2,5,0,0,False,2
4,1,0,2,1,4,0,False,4
2,0,0,4,0,2,0,False,3
0,0,0,4,2,0,0,False,4
2,0,0,1,5,2,0,False,0
0,1,0,2,0,0,0,False,2
0,1,0,1,1,0,0,False,5
4,1,0,4,5,4,1,False,0
0,1,0,4,1,0,0,False,2
0,0,0,4,5,0,0,False,5
0,1,0,4,5,0,0,False,5
4,1,0,4,2,4,0,False,4
0,1,0,0,0,0,0,False,2
4,1,1,1,1,4,1,False,0
0,1,0,1,1,0,0,False,1
0,1,0,4,5,0,0,False,2
0,1,0,4,1,0,0,False,2
0,0,0,4,0,0,0,False,5
0,1,0,4,1,0,0,False,3
2,0,0,4,0,2,0,False,3
0,0,0,4,2,0,0,False,4
2,1,0,1,5,2,0,False,1
2,1,0,4,0,2,0,False,3
0,0,0,4,1,0,0,False,2
0,1,0,4,1,0,0,False,2
0,0,0,4,0,0,0,False,3
2,0,0,2,1,2,0,False,1
2,1,0,1,2,2,0,False,2
0,0,0,4,5,0,0,False,3
0,1,0,4,1,0,0,False,5
0,1,1,4,0,0,0,False,3
4,1,0,1,5,4,1,True,1
0,1,0,4,5,0,0,False,2
2,0,0,4,2,2,0,False,4
0,1,0,4,0,0,0,False,3
2,1,0,4,2,2,0,False,4
0,0,0,1,5,0,0,False,5
2,1,0,4,1,2,1,False,0
0,1,0,4,1,0,0,False,5
0,1,0,1,0,0,0,False,0
0,0,1,4,1,0,0,False,2
0,1,0,4,1,0,0,False,2
0,1,0,1,0,0,0,False,2
0,1,0,4,2,0,0,False,4
0,1,0,1,1,0,0,False,2
2,1,0,1,1,2,1,True,0
0,1,0,4,1,0,0,False,4
0,1,0,4,0,0,0,False,3
0,1,2,4,2,0,0,False,4
2,1,0,1,3,2,0,False,1
0,1,0,4,0,0,0,False,3
0,0,0,4,5,0,0,False,5
0,1,0,1,4,0,0,False,5
2,0,0,4,0,2,0,False,0
0,1,0,4,5,0,0,False,5
0,1,1,4,0,0,0,False,3
0,1,0,4,0,0,0,False,3
0,1,0,1,0,0,0,False,5
0,0,0,4,0,0,0,False,3
0,1,0,1,1,0,0,False,0
0,0,0,4,1,0,0,False,5
4,1,0,1,2,4,1,False,0
0,1,0,4,5,0,0,False,2
2,1,0,2,3,2,0,False,0
4,0,0,1,0,4,1,False,0
2,1,0,1,0,2,0,False,4
0,1,0,2,0,0,0,False,3
0,1,0,1,0,0,0,False,4
0,0,0,4,5,0,0,False,2
2,1,0,4,5,2,0,False,1
0,1,0,4,0,0,0,False,3
0,0,0,4,5,0,0,False,2
0,0,0,4,0,0,0,False,5
0,0,0,4,0,0,0,False,2
4,1,0,4,1,4,1,False,0
0,1,0,4,0,0,1,False,0
0,1,0,4,5,0,0,False,2
0,1,2,4,2,0,0,False,4
0,1,0,4,0,0,0,False,3
0,0,0,4,5,0,0,False,3
0,0,0,2,1,0,0,False,5
0,1,0,2,0,0,0,False,1
0,1,0,2,0,0,0,False,3
0,0,0,1,0,0,0,False,3
2,0,0,4,3,2,0,False,2
2,1,0,4,1,2,1,False,0
0,1,0,2,0,0,0,False,5
0,1,0,2,0,0,0,False,3
0,1,0,4,5,0,0,False,2
0,1,0,4,1,0,0,False,5
0,1,0,4,1,0,0,False,4
0,1,0,4,1,0,0,False,3
2,0,0,4,0,2,1,False,1
0,1,0,1,0,0,0,False,3
4,1,0,4,2,4,0,False,2
2,0,0,4,2,2,0,False,4
4,1,0,1,0,4,1,False,0
0,1,0,4,5,0,0,False,2
0,0,0,4,4,0,0,False,2
0,1,0,4,3,0,0,False,4
4,1,0,1,0,4,1,False,1
0,0,0,4,5,0,0,False,5
0,1,0,2,0,0,0,False,3
4,1,0,4,2,4,0,False,4
2,0,0,4,0,2,0,False,5
2,0,0,4,4,2,0,False,1
0,1,0,4,1,0,0,False,2
4,1,0,2,1,4,0,False,0
4,1,0,4,5,4,0,False,0
4,1,0,1,1,4,1,False,0
0,1,0,4,1,0,0,False,3
2,1,0,4,2,2,0,False,4
0,0,0,4,5,0,0,False,5
2,1,0,4,2,2,0,False,4
0,1,0,2,3,0,0,False,2
0,1,0,4,2,0,0,False,4
2,1,0,1,0,2,1,False,0
0,0,0,4,0,0,0,False,3
2,1,0,4,2,2,0,False,4
0,1,0,4,5,0,0,False,5
0,0,0,2,0,0,0,False,1
2,0,0,1,0,2,1,False,0
2,1,0,2,0,2,0,False,0
0,1,0,1,0,0,0,False,3
0,0,0,4,5,0,0,False,3
2,1,0,2,1,2,0,False,4
0,1,0,4,5,0,0,False,2
0,1,0,1,0,0,0,False,2
4,1,0,1,5,4,0,False,0
0,0,0,2,0,0,1,False,1
4,1,0,4,2,4,0,False,4
0,1,0,4,1,0,0,False,1
2,1,0,4,2,2,0,False,4
0,1,0,1,5,0,0,False,2
0,1,0,4,1,0,0,False,5
4,1,0,4,1,4,0,False,0
0,1,0,2,1,0,0,False,2
0,1,0,4,0,0,0,False,3
0,0,0,4,2,0,0,False,4
0,1,0,4,1,0,0,False,5
0,1,1,1,0,0,0,False,2
0,0,0,4,0,0,0,False,5
0,1,0,2,0,0,0,False,3
2,1,0,4,2,2,0,False,4
0,0,0,2,0,0,0,False,3
0,1,0,4,0,0,0,False,4
0,0,1,4,1,0,0,False,2
4,0,0,4,0,4,0,False,1
2,1,0,1,2,2,0,False,4
0,1,0,4,5,0,0,False,0
0,1,0,2,4,0,0,False,5
0,1,0,2,5,0,0,False,5
0,1,0,4,4,0,0,False,2
2,1,0,4,0,2,0,False,5
0,1,0,4,2,0,0,False,4
4,1,1,2,1,4,0,False,1
0,1,0,4,0,0,0,False,3
0,1,0,4,1,0,0,False,3
2,0,0,4,1,2,1,False,1
0,0,0,1,1,0,1,False,1
0,1,0,4,5,0,0,False,2
2,1,0,4,1,2,0,False,0
2,1,0,1,1,2,1,False,0
0,1,0,4,5,0,0,False,2
2,0,0,4,0,2,0,False,3
0,1,2,4,0,0,0,False,3
4,1,0,4,0,4,0,False,1
2,1,1,4,5,2,1,True,1
2,1,0,4,2,2,0,False,4
0,1,0,4,5,0,0,False,5
0,0,0,1,0,0,1,False,1
0,1,0,4,1,0,0,False,2
2,1,0,4,0,2,0,False,3
0,1,0,4,0,0,0,False,3
2,1,0,2,1,2,1,True,4
0,1,0,1,1,0,0,False,2
0,1,0,4,0,0,0,False,2
4,0,0,4,2,4,0,False,4
0,0,0,2,1,0,0,False,3
0,1,0,0,1,0,0,False,5
0,1,0,2,0,0,0,False,3
0,1,0,4,1,0,0,False,0
0,1,0,4,5,0,0,False,2
2,1,0,2,3,2,1,False,0
0,1,2,4,0,0,0,False,3
0,1,0,4,0,0,0,False,3
0,1,0,1,0,0,0,False,5
0,1,0,4,0,0,0,False,3
0,0,0,4,2,0,0,False,4
2,1,0,4,0,2,0,False,3
2,0,0,4,2,2,0,False,4
4,1,0,4,1,4,0,False,2
4,1,0,4,5,4,1,False,0
4,1,0,4,1,4,1,False,4
0,0,0,4,0,0,0,False,3
0,1,0,4,4,0,0,False,1
0,1,0,4,0,0,0,False,5
2,0,0,4,0,2,1,False,1
2,0,0,4,1,2,0,False,4
2,1,0,2,1,2,0,False,5
4,0,0,4,1,4,0,False,1
0,1,0,4,0,0,0,False,4
0,1,1,4,2,0,0,False,0
0,0,0,4,0,0,0,False,5
2,1,0,1,0,2,0,False,3
4,1,0,2,5,4,0,False,1
0,0,0,0,0,0,0,False,5
2,1,0,2,1,2,1,False,0
2,0,0,2,0,2,0,False,4
0,1,0,0,2,0,0,False,4
0,1,0,4,5,0,0,False,5
0,1,0,4,0,0,0,False,3
0,0,0,4,1,0,0,False,0
2,0,0,4,1,2,0,False,1
2,1,0,4,5,2,1,False,4
0,1,0,4,1,0,0,False,3
0,1,0,4,1,0,0,False,0
2,1,0,4,5,2,0,False,1
2,1,0,4,1,2,0,False,4
0,1,0,4,2,0,0,False,0
2,1,0,4,5,2,1,True,1
0,1,0,2,5,0,0,False,2
0,1,0,4,1,0,0,False,5
0,1,0,4,0,0,0,False,3
4,1,0,4,5,4,0,False,0
2,1,0,1,0,2,0,False,2
0,0,0,4,5,0,0,False,5
2,1,0,4,3,2,0,False,1
0,1,0,1,5,0,0,False,5
4,1,0,1,1,4,1,False,0
0,1,0,1,5,0,0,False,2
4,1,0,4,1,4,1,True,1
4,1,0,4,0,4,0,False,4
2,1,0,2,2,2,0,False,4
2,1,0,4,0,2,0,False,0
4,1,0,4,1,4,1,True,1
0,1,0,4,1,0,0,False,1
2,0,0,4,0,2,1,False,1
2,0,0,1,2,2,0,False,4
2,0,0,0,5,2,0,False,2
2,1,0,4,1,2,1,False,4
0,0,0,4,5,0,0,False,5
0,1,0,4,0,0,0,False,4
0,1,0,4,2,0,0,False,4
2,1,0,4,0,2,0,False,3
0,0,0,4,5,0,0,False,5
0,1,0,1,5,0,0,False,3
2,1,0,4,0,2,0,False,3
0,1,0,4,2,0,0,False,4
0,0,0,4,5,0,0,False,2
0,1,0,4,5,0,0,False,2
2,1,0,1,2,2,0,False,4
0,1,0,2,0,0,0,False,1
0,1,0,2,1,0,0,False,5
4,1,0,2,5,4,0,False,1
2,1,0,4,3,2,1,False,0
4,0,0,4,1,4,1,True,1
2,0,0,4,1,2,0,False,4
4,1,0,1,0,4,1,False,1
0,0,0,4,1,0,0,False,5
0,1,0,2,0,0,0,False,3
0,0,0,4,2,0,0,False,4
0,1,0,4,5,0,0,False,2
2,1,0,2,1,2,1,False,4
0,1,0,4,0,0,0,False,3
2,0,0,4,2,2,0,False,4
0,1,0,4,5,0,0,False,2
2,1,0,4,2,2,0,False,4
0,1,0,2,0,0,0,False,4
0,1,0,1,1,0,0,False,3
4,1,0,1,5,4,1,True,1
0,1,2,4,0,0,0,False,5
0,0,0,4,1,0,0,False,1
0,0,0,1,0,0,0,False,2
2,1,0,2,3,2,0,False,1
0,0,0,4,1,0,0,False,5
0,1,0,1,0,0,0,False,0
0,1,0,4,0,0,0,False,2
0,1,0,4,5,0,0,False,2
2,1,0,4,1,2,1,True,0
4,0,0,4,2,4,0,False,4
0,1,0,4,0,0,0,False,2
2,0,0,2,0,2,1,False,1
0,1,2,4,2,0,0,False,4
2,0,0,2,2,2,0,False,0
4,0,0,1,0,4,0,False,1
2,0,0,4,4,2,0,False,1
0,1,0,2,0,0,0,False,3
2,0,0,4,0,2,1,False,1
0,1,0,2,0,0,0,False,3
0,1,0,4,4,0,0,False,2
0,1,0,4,1,0,0,False,5
0,0,0,1,0,0,0,False,1
2,1,0,1,0,2,0,False,2
4,1,0,1,1,4,0,False,0
0,1,0,4,0,0,0,False,3
0,0,0,4,5,0,0,False,2
0,1,0,4,0,0,0,False,1
2,1,0,4,5,2,0,False,2
2,1,0,4,0,2,1,False,3
0,1,0,4,0,0,0,False,3
0,1,0,4,2,0,0,False,2
0,1,0,4,0,0,0,False,3
2,1,0,2,1,2,0,False,5
4,0,0,4,2,4,0,False,4
0,1,0,1,1,0,1,False,1
0,0,0,4,5,0,0,False,2
4,1,0,4,5,4,1,True,0
0,0,0,4,2,0,0,False,4
0,1,1,1,0,0,1,False,0
2,0,0,4,4,2,0,False,1
2,0,0,4,1,2,0,False,5
0,1,1,4,0,0,0,False,3
0,1,0,4,5,0,0,False,4
0,0,0,4,2,0,0,False,4
0,1,0,4,1,0,0,False,5
0,1,0,4,5,0,0,False,2
2,1,0,4,1,2,1,False,4
4,1,0,4,1,4,1,False,4
2,0,0,4,0,2,1,False,1
0,0,0,4,0,0,0,False,5
0,0,0,4,5,0,0,False,2
4,1,0,4,1,4,0,False,0
2,1,0,2,2,2,0,False,4
0,1,0,4,1,0,0,False,5
2,0,0,4,2,2,0,False,0
4,1,0,2,0,4,0,False,5
0,1,0,1,0,0,0,False,5
0,1,0,1,0,0,0,False,1
0,1,0,1,5,0,0,False,1
0,0,0,1,4,0,0,False,2
2,1,0,4,0,2,1,False,1
2,1,0,4,0,2,1,False,1
2,1,0,4,5,2,0,False,1
0,0,0,4,5,0,0,False,2
0,1,0,4,5,0,0,False,3
0,0,0,4,5,0,0,False,2
2,1,0,4,2,2,0,False,0
0,1,0,1,0,0,0,False,4
2,0,0,4,1,2,0,False,0
0,1,0,4,0,0,0,False,5
2,1,0,4,1,2,1,False,0
0,0,0,1,0,0,0,False,3
0,1,0,2,0,0,0,False,3
4,1,0,2,1,4,0,False,4
0,1,0,4,0,0,0,False,3
2,0,0,1,0,2,1,False,0
0,1,0,1,0,0,0,False,2
2,1,0,4,0,2,1,False,1
0,1,0,4,1,0,0,False,4
2,0,0,1,0,2,0,False,1
0,0,0,2,5,0,0,False,5
0,0,0,4,0,0,0,False,3
0,1,2,4,2,0,0,False,4
0,1,0,1,0,0,0,False,3
0,1,0,2,1,0,1,False,1
0,0,0,1,5,0,0,False,5
2,1,0,4,5,2,0,False,1
4,1,0,1,0,4,1,False,1
0,0,0,4,5,0,0,False,2
0,1,0,4,5,0,0,False,2
0,1,0,1,0,0,0,False,3
2,0,0,4,1,2,1,False,1
2,1,0,4,5,2,0,False,2
0,0,1,4,5,0,0,False,5
0,1,0,2,0,0,0,False,5
0,1,0,4,5,0,0,False,5
0,1,0,1,0,0,1,True,3
4,1,0,4,3,4,1,False,0
2,1,0,4,1,2,1,False,4
0,1,0,2,1,0,1,False,0
0,0,0,1,5,0,0,False,1
0,1,0,2,0,0,0,False,3
0,1,0,2,0,0,0,False,4
2,1,0,4,5,2,0,False,5
0,1,0,2,2,0,0,False,4
2,1,0,4,0,2,0,False,3
0,1,0,4,0,0,0,False,3
2,0,0,4,2,2,0,False,4
0,0,0,4,5,0,0,False,2
0,1,0,4,1,0,0,False,3
0,0,0,4,5,0,0,False,2
0,1,0,2,5,0,0,False,5
4,0,0,1,0,4,0,False,1
2,1,0,1,5,2,1,False,0
4,1,0,4,5,4,1,False,0
0,1,0,2,5,0,1,False,1
0,0,1,4,5,0,0,False,5
2,1,0,2,1,2,0,False,0
0,0,0,2,3,0,0,False,2
0,1,0,4,0,0,0,False,2
4,1,0,2,1,4,1,False,0
0,1,0,4,1,0,0,False,2
0,0,0,4,1,0,0,False,1
0,1,0,2,0,0,0,False,5
0,1,0,4,5,0,0,False,0
0,1,0,1,0,0,0,False,3
0,1,0,4,5,0,0,False,5
0,1,0,4,0,0,0,False,3
2,0,0,4,0,2,0,False,1
0,1,0,2,0,0,0,False,3
2,1,0,4,5,2,0,False,2
2,1,0,4,0,2,0,False,5
0,1,0,4,0,0,0,False,5
4,1,0,1,1,4,1,True,0
0,1,0,1,3,0,1,False,2
4,1,0,1,5,4,1,True,1
2,1,0,4,5,2,0,False,0
0,1,1,1,5,0,0,False,2
0,1,0,4,4,0,0,False,5
4,1,0,4,5,4,1,True,1
2,0,0,1,5,2,0,False,0
2,1,0,4,5,2,1,False,0
2,1,0,1,3,2,0,False,2
0,1,0,0,5,0,0,False,2
4,1,0,1,3,4,1,False,4
2,1,0,4,0,2,0,False,0
0,0,0,4,2,0,0,False,0
0,0,0,4,4,0,0,False,5
0,0,0,4,0,0,0,False,2
2,1,0,1,1,2,1,False,0
0,1,0,1,4,0,0,False,2
0,0,0,4,5,0,0,False,2
0,1,0,4,5,0,0,False,2
4,1,0,4,1,4,1,False,4
2,0,0,4,1,2,0,False,0
2,1,0,4,5,2,0,False,1
0,1,0,4,0,0,0,False,5
0,1,0,4,5,0,0,False,2
0,1,0,4,5,0,0,False,2
2,0,2,4,2,2,0,False,4
2,1,0,4,3,2,0,False,0
0,1,0,1,1,0,0,False,0
0,1,0,4,0,0,0,False,5
2,1,0,4,3,2,0,False,1
2,1,0,2,3,2,0,False,0
2,0,0,4,1,2,1,False,0
0,0,0,4,1,0,0,False,5
0,1,0,4,0,0,0,False,2
0,0,0,4,5,0,0,False,5
0,1,0,4,1,0,0,False,5
0,1,0,1,5,0,0,False,2
4,1,0,1,1,4,0,False,0
0,1,0,4,0,0,0,False,0
4,1,0,1,0,4,0,False,1
0,1,0,4,2,0,0,False,4
2,1,0,1,2,2,1,False,0
2,1,0,0,0,2,0,False,0
4,1,0,1,3,4,1,False,4
0,1,1,4,0,0,0,False,5
0,1,0,4,0,0,0,False,5
0,1,0,4,5,0,0,False,2
2,1,0,4,1,2,0,False,2
0,1,0,4,0,0,0,False,1
0,0,0,4,1,0,0,False,2
0,1,0,4,0,0,0,False,3
0,0,0,2,5,0,0,False,2
2,1,0,1,5,2,0,False,1
2,1,0,4,2,2,0,False,4
0,1,0,4,0,0,0,False,3
0,1,0,4,0,0,0,False,0
2,1,0,4,3,2,0,False,0
0,0,0,4,2,0,0,False,4
0,1,0,4,5,0,0,False,2
0,1,0,4,0,0,0,False,3
4,1,0,4,2,4,0,False,0
2,1,0,4,2,2,0,False,2
0,1,0,4,0,0,0,False,3
0,1,0,4,2,0,0,False,4
0,1,0,4,5,0,0,False,5
0,1,0,4,0,0,0,False,3
4,1,0,4,2,4,1,True,0
2,1,0,4,1,2,1,False,5
2,1,0,4,5,2,0,False,2
0,1,0,1,2,0,0,False,4
0,1,0,4,2,0,0,False,4
4,0,0,4,1,4,0,False,1
2,1,0,4,0,2,0,False,3
0,1,0,1,0,0,0,False,3
0,1,0,4,0,0,0,False,5
0,1,0,4,5,0,0,False,5
0,1,0,4,0,0,0,False,3
0,1,0,4,0,0,0,False,3
0,1,0,4,0,0,0,False,2
0,1,0,4,0,0,0,False,3
0,0,0,2,2,0,0,False,4
4,1,0,4,5,4,0,False,0
0,1,0,1,0,0,0,False,3
0,0,0,4,0,0,0,False,0
0,1,0,4,0,0,0,False,3
0,1,0,4,4,0,0,False,2
0,1,0,1,5,0,0,False,3
4,0,0,4,2,4,0,False,4
2,1,0,4,1,2,0,False,2
0,1,0,2,0,0,0,False,3
0,1,0,2,0,0,0,False,5
2,1,0,2,1,2,1,False,1
0,0,0,4,2,0,0,False,4
0,1,0,4,5,0,0,False,4
0,0,1,4,5,0,0,False,5
0,0,0,4,5,0,0,False,0
0,1,0,4,1,0,0,False,0
0,1,0,4,0,0,0,False,2
0,1,0,1,0,0,0,False,5
2,1,0,4,0,2,0,False,1
0,1,0,4,5,0,0,False,2
2,1,0,4,5,2,0,False,1
0,0,0,1,0,0,0,False,0
0,1,0,1,0,0,0,False,3
2,1,0,4,0,2,0,False,3
2,1,0,2,0,2,1,False,0
4,1,0,1,5,4,1,False,0
2,0,0,4,2,2,0,False,4
0,0,0,4,2,0,0,False,5
0,1,0,1,1,0,0,False,5
0,1,0,4,0,0,0,False,5
0,1,0,4,1,0,0,False,1
0,1,0,2,0,0,0,False,3
0,1,0,4,2,0,0,False,4
2,1,0,4,3,2,0,False,1
0,1,0,2,5,0,0,False,2
0,0,0,4,0,0,0,False,5
0,1,0,4,0,0,0,False,5
0,1,0,4,1,0,0,False,2
0,1,0,4,5,0,0,False,2
2,1,0,2,1,2,0,False,0
0,1,0,2,1,0,0,False,1
4,1,0,4,1,4,1,False,4
4,1,0,1,5,4,1,False,0
0,1,0,1,5,0,0,False,2
0,0,0,4,5,0,0,False,3
2,1,0,1,5,2,0,False,0
0,1,0,1,1,0,0,False,3
0,1,0,4,1,0,0,False,5
0,0,0,4,1,0,0,False,5
0,0,0,2,2,0,0,False,4
2,1,0,4,2,2,0,False,4
0,0,0,1,1,0,0,False,5
0,1,0,4,5,0,0,False,2
0,1,0,4,1,0,0,False,4
4,1,0,1,3,4,1,False,0
0,0,0,4,5,0,0,False,5
2,0,0,4,5,2,0,False,1
0,1,0,2,0,0,0,False,2
2,0,0,4,5,2,0,False,5
0,1,0,4,1,0,0,False,2
0,1,0,4,5,0,0,False,2
2,1,0,2,1,2,1,False,1
0,1,1,4,0,0,0,False,3
0,0,0,2,1,0,0,False,5
2,1,0,4,1,2,0,False,0
2,1,0,2,2,2,0,False,4
0,1,0,4,5,0,0,False,2
0,1,0,4,0,0,0,False,3
4,1,0,1,1,4,0,False,0
2,1,0,1,3,2,1,False,1
2,1,0,2,3,2,1,False,0
0,0,0,4,5,0,0,False,2
4,0,0,4,1,4,1,True,1
2,0,0,4,5,2,0,False,2
2,1,0,1,5,2,0,False,0
4,1,0,4,2,4,1,False,0
0,1,0,4,0,0,0,False,5
0,1,0,2,1,0,0,False,1
4,1,0,2,1,4,0,False,2
0,1,0,1,1,0,0,False,0
4,0,0,4,2,4,0,False,4
0,1,0,4,1,0,0,False,1
0,0,0,4,0,0,0,False,3
0,0,0,2,0,0,0,False,3
0,1,0,2,1,0,0,False,1
0,1,0,0,0,0,0,False,3
0,1,0,4,1,0,0,False,1
0,1,0,4,1,0,0,False,2
0,1,0,1,3,0,0,False,3
2,1,0,4,0,2,0,False,0
2,1,0,4,5,2,0,False,4
4,1,0,2,0,4,1,False,0
0,1,0,1,5,0,0,False,2
0,0,0,4,1,0,0,False,0
0,0,0,4,2,0,0,False,4
0,1,0,1,1,0,0,False,5
0,0,0,4,1,0,0,False,5
4,1,0,1,0,4,1,False,1
0,0,0,4,0,0,0,False,3
0,1,0,4,1,0,0,False,5
0,0,0,4,0,0,0,False,0
4,1,0,1,0,4,1,False,4
0,1,0,4,2,0,0,False,4
2,1,0,4,1,2,0,False,2
0,1,0,1,5,0,0,False,5
0,1,0,0,0,0,0,False,3
4,1,0,4,5,4,1,False,0
0,1,2,4,1,0,0,False,5
2,1,0,1,5,2,0,False,2
4,1,0,4,1,4,0,False,0
